id,category,sub_category,order_date,sales
CG-12520,Furniture,Bookcases,2016-11-08T00:00:00Z,261.96
CG-12520,Furniture,Chairs,2016-11-08T00:00:00Z,731.9399999999999
DV-13045,Office Supplies,Labels,2016-06-12T00:00:00Z,14.62
SO-20335,Furniture,Tables,2015-10-11T00:00:00Z,957.5775
SO-20335,Office Supplies,Storage,2015-10-11T00:00:00Z,22.368000000000002
BH-11710,Furniture,Furnishings,2014-06-09T00:00:00Z,48.86
BH-11710,Office Supplies,Art,2014-06-09T00:00:00Z,7.28
BH-11710,Technology,Phones,2014-06-09T00:00:00Z,907.152
BH-11710,Office Supplies,Binders,2014-06-09T00:00:00Z,18.504
BH-11710,Office Supplies,Appliances,2014-06-09T00:00:00Z,114.9
BH-11710,Furniture,Tables,2014-06-09T00:00:00Z,1706.1840000000002
BH-11710,Technology,Phones,2014-06-09T00:00:00Z,911.424
AA-10480,Office Supplies,Paper,2017-04-15T00:00:00Z,15.552000000000003
IM-15070,Office Supplies,Binders,2016-12-05T00:00:00Z,407.97600000000006
HP-14815,Office Supplies,Appliances,2015-11-22T00:00:00Z,68.80999999999999
HP-14815,Office Supplies,Binders,2015-11-22T00:00:00Z,2.5439999999999996
PK-19075,Office Supplies,Storage,2014-11-11T00:00:00Z,665.88
AG-10270,Office Supplies,Storage,2014-05-13T00:00:00Z,55.5
ZD-21925,Office Supplies,Art,2014-08-27T00:00:00Z,8.56
ZD-21925,Technology,Phones,2014-08-27T00:00:00Z,213.48000000000002
ZD-21925,Office Supplies,Binders,2014-08-27T00:00:00Z,22.72
KB-16585,Office Supplies,Art,2016-12-09T00:00:00Z,19.459999999999997
KB-16585,Office Supplies,Appliances,2016-12-09T00:00:00Z,60.339999999999996
SF-20065,Furniture,Chairs,2017-07-16T00:00:00Z,71.37199999999999
EB-13870,Furniture,Tables,2015-09-25T00:00:00Z,1044.6299999999999
EH-13945,Office Supplies,Binders,2016-01-16T00:00:00Z,11.648000000000001
EH-13945,Technology,Accessories,2016-01-16T00:00:00Z,90.57000000000001
TB-21520,Furniture,Bookcases,2015-09-17T00:00:00Z,3083.4300000000003
TB-21520,Office Supplies,Binders,2015-09-17T00:00:00Z,9.618000000000002
TB-21520,Furniture,Furnishings,2015-09-17T00:00:00Z,124.20000000000002
TB-21520,Office Supplies,Envelopes,2015-09-17T00:00:00Z,3.2640000000000002
TB-21520,Office Supplies,Art,2015-09-17T00:00:00Z,86.304
TB-21520,Office Supplies,Binders,2015-09-17T00:00:00Z,6.858000000000001
TB-21520,Office Supplies,Art,2015-09-17T00:00:00Z,15.76
MA-17560,Office Supplies,Paper,2017-10-19T00:00:00Z,29.472
GH-14485,Technology,Phones,2016-12-08T00:00:00Z,1097.5440000000003
GH-14485,Furniture,Furnishings,2016-12-08T00:00:00Z,190.92
SN-20710,Office Supplies,Envelopes,2015-12-27T00:00:00Z,113.328
SN-20710,Furniture,Bookcases,2015-12-27T00:00:00Z,532.3992
SN-20710,Furniture,Chairs,2015-12-27T00:00:00Z,212.058
SN-20710,Technology,Phones,2015-12-27T00:00:00Z,371.168
LC-16930,Technology,Phones,2017-09-10T00:00:00Z,147.168
RA-19885,Office Supplies,Storage,2016-07-17T00:00:00Z,77.88
ES-14080,Office Supplies,Storage,2017-09-19T00:00:00Z,95.616
ON-18715,Technology,Accessories,2016-03-11T00:00:00Z,45.98
ON-18715,Office Supplies,Binders,2016-03-11T00:00:00Z,17.46
PO-18865,Office Supplies,Storage,2014-10-20T00:00:00Z,211.96
LH-16900,Technology,Accessories,2016-06-20T00:00:00Z,45
LH-16900,Technology,Phones,2016-06-20T00:00:00Z,21.8
DP-13000,Office Supplies,Binders,2015-04-18T00:00:00Z,38.22
DP-13000,Office Supplies,Labels,2015-04-18T00:00:00Z,75.17999999999999
DP-13000,Furniture,Furnishings,2015-04-18T00:00:00Z,6.16
DP-13000,Furniture,Chairs,2015-04-18T00:00:00Z,89.99
JM-15265,Office Supplies,Fasteners,2016-12-11T00:00:00Z,15.260000000000002
JM-15265,Technology,Phones,2016-12-11T00:00:00Z,1029.95
TB-21055,Office Supplies,Storage,2016-06-17T00:00:00Z,208.56
TB-21055,Office Supplies,Paper,2016-06-17T00:00:00Z,32.400000000000006
TB-21055,Furniture,Chairs,2016-06-17T00:00:00Z,319.41
TB-21055,Office Supplies,Paper,2016-06-17T00:00:00Z,14.56
TB-21055,Technology,Accessories,2016-06-17T00:00:00Z,30
TB-21055,Office Supplies,Binders,2016-06-17T00:00:00Z,48.480000000000004
TB-21055,Office Supplies,Art,2016-06-17T00:00:00Z,1.68
KM-16720,Technology,Accessories,2015-11-24T00:00:00Z,13.98
KM-16720,Office Supplies,Binders,2015-11-24T00:00:00Z,25.824
KM-16720,Office Supplies,Paper,2015-11-24T00:00:00Z,146.73
KM-16720,Furniture,Furnishings,2015-11-24T00:00:00Z,79.76
PS-18970,Furniture,Chairs,2015-04-30T00:00:00Z,213.11499999999998
BS-11590,Office Supplies,Art,2014-12-05T00:00:00Z,1113.0240000000001
BS-11590,Technology,Phones,2014-12-05T00:00:00Z,167.96800000000002
KD-16270,Office Supplies,Paper,2016-06-04T00:00:00Z,75.88
HM-14980,Office Supplies,Binders,2016-09-18T00:00:00Z,4.616
TB-21520,Office Supplies,Paper,2017-09-14T00:00:00Z,19.049999999999997
JE-15745,Furniture,Chairs,2015-04-26T00:00:00Z,831.9360000000001
JE-15745,Furniture,Furnishings,2015-04-26T00:00:00Z,97.04
JE-15745,Office Supplies,Storage,2015-04-26T00:00:00Z,72.784
KB-16600,Office Supplies,Binders,2017-12-09T00:00:00Z,1.2479999999999998
KB-16600,Furniture,Furnishings,2017-12-09T00:00:00Z,9.708
KB-16600,Office Supplies,Storage,2017-12-09T00:00:00Z,27.240000000000002
JE-15745,Furniture,Furnishings,2014-11-26T00:00:00Z,19.3
SC-20770,Office Supplies,Appliances,2016-06-12T00:00:00Z,208.16
SC-20770,Office Supplies,Binders,2016-06-12T00:00:00Z,16.740000000000002
DN-13690,Office Supplies,Art,2014-10-12T00:00:00Z,14.9
DN-13690,Office Supplies,Storage,2014-10-12T00:00:00Z,21.39
JC-16105,Office Supplies,Envelopes,2015-09-03T00:00:00Z,200.98400000000004
CS-12400,Office Supplies,Storage,2017-11-13T00:00:00Z,230.376
PO-18865,Furniture,Chairs,2017-05-28T00:00:00Z,301.96
PG-18895,Technology,Accessories,2017-10-26T00:00:00Z,19.99
PG-18895,Office Supplies,Labels,2017-10-26T00:00:00Z,6.16
GM-14455,Office Supplies,Storage,2016-04-05T00:00:00Z,158.36800000000002
JS-15685,Office Supplies,Art,2016-09-17T00:00:00Z,20.1
JS-15685,Technology,Phones,2016-09-17T00:00:00Z,73.584
JS-15685,Office Supplies,Paper,2016-09-17T00:00:00Z,6.48
KB-16315,Office Supplies,Paper,2015-01-31T00:00:00Z,12.96
KB-16315,Furniture,Furnishings,2015-01-31T00:00:00Z,53.34
KB-16315,Office Supplies,Binders,2015-01-31T00:00:00Z,32.96
RB-19705,Office Supplies,Binders,2017-11-06T00:00:00Z,5.682000000000001
PN-18775,Furniture,Furnishings,2017-11-09T00:00:00Z,96.53
KD-16345,Office Supplies,Binders,2017-06-17T00:00:00Z,51.312
